Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
BMRN,BioMarin Pharmaceutical Inc. Common Stock,$63.77,-1.83,-2.79%,12153478930.00,United States,1999,238914,Health Care,Biotechnology: Pharmaceutical Preparations
BNTX,BioNTech SE American Depositary Share,$98.93,-4.63,-4.471%,23518206964.00,Germany,2019,1575234,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BPYPM,Brookfield Property Partners L.P. 6.25% Class A Cumulative Redeemable Preferred Units Series 1,$16.75,-0.01,-0.06%,15097512838.00,Bermuda,,4349,Finance,Real Estate
BPYPN,Brookfield Property Partners L.P. 5.750% Class A Cumulative Redeemable Perpetual Preferred Units Series 3,$14.2071,-0.0529,-0.371%,12805485053.00,Bermuda,,5446,Finance,Real Estate
BPYPO,Brookfield Property Partners L.P. 6.375% Class A Cumulative Redeemable Perpetual Preferred Units Series 2,$15.88,-0.19,-1.182%,14313343514.00,Bermuda,,3176,Finance,Real Estate
BPYPP,Brookfield Property Partners L.P. 6.50% Class A Cumulative Redeemable Perpetual Preferred Units,$15.8395,-0.1855,-1.158%,14276839080.00,Bermuda,,7056,Finance,Real Estate
BSY,Bentley Systems Incorporated Class B Common Stock,$47.05,-1.04,-2.163%,14220858924.00,United States,2020,203724,Technology,Computer Software: Prepackaged Software
BTSGU,BrightSpring Health Services Inc. Tangible Equity Unit,$69.00,-0.63,-0.905%,12014723463.00,United States,2024,256,Health Care,Medical/Nursing Services
CART,Maplebear Inc. Common Stock,$41.22,-1.71,-3.983%,10750368126.00,United States,2023,1701172,Consumer Discretionary,Business Services
CASY,Casey's General Stores Inc. Common Stock,$397.45,-8.26,-2.036%,14751747046.00,United States,1983,42200,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,$76.025,-1.405,-1.815%,35042479525.00,United Kingdom,,483551,Consumer Staples,Beverages (Production/Distribution)
CDNS,Cadence Design Systems Inc. Common Stock,$291.02,-12.02,-3.966%,79816018260.00,United States,,348914,Technology,Computer Software: Prepackaged Software
CDW,CDW Corporation Common Stock,$178.145,-2.625,-1.452%,23740326325.00,United States,2013,572970,Consumer Discretionary,Catalog/Specialty Distribution
CEG,Constellation Energy Corporation Common Stock ,$224.167,-0.8605,-0.382%,70111950198.00,United States,,774456,Utilities,Electric Utilities: Central
CG,The Carlyle Group Inc. Common Stock,$50.42,-0.67,-1.311%,18034289180.00,United States,2012,416845,Finance,Investment Managers
CHDN,Churchill Downs Incorporated Common Stock,$139.00,-1.91,-1.355%,10216046999.00,United States,,41222,Consumer Discretionary,Services-Misc. Amusement & Recreation
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,$173.97,-3.58,-2.016%,19642331105.00,Israel,1996,158365,Technology,Computer Software: Prepackaged Software
CHRW,C.H. Robinson Worldwide Inc. Common Stock,$110.71,-0.77,-0.691%,13086497581.00,United States,1997,116074,Consumer Discretionary,Oil Refining/Marketing
CHTR,Charter Communications Inc. Class A Common Stock New,$388.6446,-5.6054,-1.422%,55263610769.00,United States,,209680,Telecommunications,Cable & Other Pay Television Services
CINF,Cincinnati Financial Corporation Common Stock,$150.785,1.235,0.826%,23569972655.00,United States,,81318,Finance,Property-Casualty Insurers
CMCSA,Comcast Corporation Class A Common Stock,$42.9875,-0.4925,-1.133%,164493388379.00,United States,,3332737,Telecommunications,Cable & Other Pay Television Services
CME,CME Group Inc. Class A Common Stock,$225.57,2.15,0.962%,81286901680.00,United States,2002,504581,Finance,Investment Bankers/Brokers/Service
COIN,Coinbase Global Inc. Class A Common Stock,$286.1799,7.3399,2.632%,71645264743.00,United States,,4959196,Finance,Finance: Consumer Services
COKE,Coca-Cola Consolidated Inc. Common Stock,$1183.54,-31.67,-2.606%,10368614024.00,United States,1972,11598,Consumer Staples,Beverages (Production/Distribution)
COO,The Cooper Companies Inc. Common Stock,$99.00,-0.86,-0.861%,19716404697.00,United States,,366498,Health Care,Ophthalmic Goods
COST,Costco Wholesale Corporation Common Stock,$913.561,-10.329,-1.118%,404774703535.00,United States,,648973,Consumer Discretionary,Department/Specialty Retail Stores
CPB,Campbell Soup Company Common Stock,$43.14,-1.31,-2.947%,12860289216.00,United States,,747848,Consumer Staples,Packaged Foods
CPRT,Copart Inc. (DE) Common Stock,$56.67,-0.67,-1.168%,54589495598.00,United States,1994,663794,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$336.235,-8.125,-2.359%,82420081829.00,United States,2019,890910,Technology,Computer Software: Prepackaged Software
CSCO,Cisco Systems Inc. Common Stock (DE),$57.675,-0.245,-0.423%,230165629244.00,United States,1990,6132481,Telecommunications,Computer Communications Equipment
CSGP,CoStar Group Inc. Common Stock,$71.29,-3.75,-4.997%,29226013967.00,United States,1998,685640,Consumer Discretionary,Business Services
CSX,CSX Corporation Common Stock,$35.20,-0.43,-1.207%,67880354186.00,United States,,2114323,Industrials,Railroads
CTAS,Cintas Corporation Common Stock,$215.45,-1.21,-0.558%,86890690480.00,United States,1983,424288,Consumer Discretionary,Apparel
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$77.83,-2.94,-3.64%,38590002156.00,United States,1998,1239810,Technology,EDP Services
CYBR,CyberArk Software Ltd. Ordinary Shares,$297.31,-3.97,-1.318%,12562933946.00,Israel,2014,233469,Technology,Computer Software: Prepackaged Software
DASH,DoorDash Inc. Class A Common Stock,$171.30,-2.50,-1.438%,71157375741.00,United States,,1316710,Consumer Discretionary,Business Services
DDOG,Datadog Inc. Class A Common Stock,$125.66,-5.77,-4.39%,42689599091.00,United States,2019,1682223,Technology,Computer Software: Prepackaged Software
DKNG,DraftKings Inc. Class A Common Stock,$39.5931,-1.5469,-3.76%,19306693833.00,United States,2019,3673563,Consumer Discretionary,Services-Misc. Amusement & Recreation
DLTR,Dollar Tree Inc. Common Stock,$64.45,-1.22,-1.858%,13856242070.00,United States,1995,638106,Consumer Discretionary,Department/Specialty Retail Stores
