종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"395400","SK리츠","KOSPI",,"4510","-120","-2.59","4635","4645","4510","175516","803416485","1230277758600","272788860"
"302440","SK바이오사이언스","KOSPI",,"44700","-1700","-3.66","46400","46400","43950","130160","5829545350","3502123997100","78347293"
"326030","SK바이오팜","KOSPI",,"103300","-200","-0.19","103000","105300","101100","249671","25704869400","8089758725000","78313250"
"402340","SK스퀘어","KOSPI",,"77600","-700","-0.89","79500","81900","77400","348691","27660600700","10456596896000","134749960"
"260870","SK시그넷","KONEX","일반기업부","16860","-220","-1.29","17090","17090","16200","7039","118006440","103478418600","6137510"
"361610","SK아이이테크놀로지","KOSPI",,"25150","-1100","-4.19","25650","25750","24350","424173","10594077550","1793134438800","71297592"
"100090","SK오션플랜트","KOSPI",,"11760","-930","-7.33","12350","12680","11370","879694","10462032350","696139879680","59195568"
"03473K","SK우","KOSPI",,"113700","-600","-0.52","113000","115000","112900","2416","274138500","64369549500","566135"
"096770","SK이노베이션","KOSPI",,"96100","-6600","-6.43","100000","100600","91800","723668","69048471700","9200190199000","95735590"
"096775","SK이노베이션우","KOSPI",,"68700","-2800","-3.92","71000","71000","65200","5831","390781000","85766866200","1248426"
"475150","SK이터닉스","KOSPI",,"12820","80","0.63","12750","13000","12310","298874","3769196130","431930093900","33691895"
"001510","SK증권","KOSPI",,"492","-1","-0.20","496","496","490","652369","321313217","232514364132","472590171"
"001515","SK증권우","KOSPI",,"1621","-5","-0.31","1632","1632","1621","5947","9648630","6342185194","3912514"
"285130","SK케미칼","KOSPI",,"40350","-400","-0.98","40550","40650","39800","28510","1146028500","696190144050","17253783"
"28513K","SK케미칼우","KOSPI",,"19690","-10","-0.05","19700","20100","19380","15326","299417760","41652797010","2115429"
"017670","SK텔레콤","KOSPI",,"55900","-500","-0.89","56600","56700","55900","314743","17711464800","12006763962700","214790053"
"000660","SK하이닉스","KOSPI",,"178200","5200","3.01","174000","179000","173600","4330750","767732381719","129730021443000","728002365"
"048550","SM C&C","KOSDAQ","중견기업부","1614","28","1.77","1571","1614","1554","158577","252188478","156097396680","96714620"
"063440","SM Life Design","KOSDAQ","중견기업부","1358","53","4.06","1316","1358","1312","111491","149259290","62507591132","46029154"
"003570","SNT다이내믹스","KOSPI",,"24700","200","0.82","24800","24900","23500","128479","3104664100","821341615900","33252697"
"064960","SNT모티브","KOSPI",,"42500","-450","-1.05","42950","43050","41750","9895","419479600","621483280000","14623136"
"100840","SNT에너지","KOSPI",,"14280","-80","-0.56","14320","14600","14020","99977","1417138680","295321581240","20680783"
"036530","SNT홀딩스","KOSPI",,"21900","250","1.15","21700","21950","21450","12766","276415000","357055103400","16303886"
"067160","SOOP","KOSDAQ GLOBAL","우량기업부","98100","400","0.41","96100","98900","95400","62403","6092962000","1127636642700","11494767"
"005610","SPC삼립","KOSPI",,"46400","1650","3.69","44700","46400","44700","7472","341150550","400386017600","8629009"
"011810","STX","KOSPI",,"4760","190","4.16","4570","4760","4350","170331","772606525","147645332520","31017927"
"465770","STX그린로지스","KOSPI",,"9420","220","2.39","9010","9470","8900","111233","1026174610","67551121440","7171032"
"077970","STX엔진","KOSPI",,"21300","950","4.67","20300","21750","20000","982079","20493937500","490089655200","23008904"
"002820","SUN&L","KOSPI",,"2930","40","1.38","2925","2955","2845","5934","17097560","36941407770","12607989"
"289080","SV인베스트먼트","KOSDAQ","중견기업부","1359","-12","-0.88","1371","1381","1318","235936","318697361","72345006000","53234000"
"084870","TBH글로벌","KOSPI",,"1146","-74","-6.07","1170","1211","1129","117967","135885308","23901914574","20856819"
"002710","TCC스틸","KOSPI",,"32800","-1650","-4.79","32300","33550","30400","499467","16018872200","859809261600","26213697"
"089230","THE E&M","KOSDAQ","중견기업부","995","-14","-1.39","1009","1048","944","127148","125982195","21773538235","21882953"
